Comunidades y Ciudades Autónomas	Sexo	Periodo	Total
Total	Total	2019	47.026.208
Total	Hombres	2019	23.042.428
Total	Mujeres	2019	23.983.780
01 Andalucía	Total	2019	8.414.240
01 Andalucía	Hombres	2019	4.147.167
01 Andalucía	Mujeres	2019	4.267.073
02 Aragón	Total	2019	1.319.291
02 Aragón	Hombres	2019	650.694
02 Aragón	Mujeres	2019	668.597
03 Asturias, Principado de	Total	2019	1.022.800
03 Asturias, Principado de	Hombres	2019	488.137
03 Asturias, Principado de	Mujeres	2019	534.663
04 Balears, Illes	Total	2019	1.149.460
04 Balears, Illes	Hombres	2019	572.757
04 Balears, Illes	Mujeres	2019	576.703
05 Canarias	Total	2019	2.153.389
05 Canarias	Hombres	2019	1.065.971
05 Canarias	Mujeres	2019	1.087.418
06 Cantabria	Total	2019	581.078
06 Cantabria	Hombres	2019	281.801
06 Cantabria	Mujeres	2019	299.277
07 Castilla y León	Total	2019	2.399.548
07 Castilla y León	Hombres	2019	1.181.401
07 Castilla y León	Mujeres	2019	1.218.147
08 Castilla - La Mancha	Total	2019	2.032.863
08 Castilla - La Mancha	Hombres	2019	1.016.954
08 Castilla - La Mancha	Mujeres	2019	1.015.909
09 Cataluña	Total	2019	7.675.217
09 Cataluña	Hombres	2019	3.770.123
09 Cataluña	Mujeres	2019	3.905.094
10 Comunitat Valenciana	Total	2019	5.003.769
10 Comunitat Valenciana	Hombres	2019	2.465.342
10 Comunitat Valenciana	Mujeres	2019	2.538.427
11 Extremadura	Total	2019	1.067.710
11 Extremadura	Hombres	2019	528.500
11 Extremadura	Mujeres	2019	539.210
12 Galicia	Total	2019	2.699.499
12 Galicia	Hombres	2019	1.298.964
12 Galicia	Mujeres	2019	1.400.535
13 Madrid, Comunidad de	Total	2019	6.663.394
13 Madrid, Comunidad de	Hombres	2019	3.187.312
13 Madrid, Comunidad de	Mujeres	2019	3.476.082
14 Murcia, Región de	Total	2019	1.493.898
14 Murcia, Región de	Hombres	2019	747.615
14 Murcia, Región de	Mujeres	2019	746.283
15 Navarra, Comunidad Foral de	Total	2019	654.214
15 Navarra, Comunidad Foral de	Hombres	2019	323.631
15 Navarra, Comunidad Foral de	Mujeres	2019	330.583
16 País Vasco	Total	2019	2.207.776
16 País Vasco	Hombres	2019	1.073.074
16 País Vasco	Mujeres	2019	1.134.702
17 Rioja, La	Total	2019	316.798
17 Rioja, La	Hombres	2019	156.179
17 Rioja, La	Mujeres	2019	160.619
18 Ceuta	Total	2019	84.777
18 Ceuta	Hombres	2019	42.912
18 Ceuta	Mujeres	2019	41.865
19 Melilla	Total	2019	86.487
19 Melilla	Hombres	2019	43.894
19 Melilla	Mujeres	2019	42.593
